clin,unspc_code,manufacturer_part_number,manufacturer,sku,description,unit_of_measure,quantity_in_uom,list_price,contract_unit_price,contract_discount,category
1011b,,,DELL,210-AFXK,"4GB 1DIMM 1600MHz DDR3L, Windows 7 Pro (32/64 bit),
integrated Intel HD Graphics, DVD+/- RW, 500GB SATA
7200rpm, USB Optical Wheel Mouse, USB Keyboard, 3-Year
Next Business Day On-Site Warranty",EACH,1,"$1,013.71",$446.03,56,Standard Desktop Hardware
102d,,,DELL,210-AFXL,"Standard-Dell Optiplex 3040 MT – Core i5-6500, 3.20GHz,
4GB 1DIMM 1600MHz DDR3L, Windows 7 Pro (32/64 bit),
integrated Intel HD Graphics 530, DVD+/- RW, 500GB SATA
7200rpm, USB Optical Wheel Mouse, USB Keyboard, 3-Year
Next Business Day On-Site Warranty",EACH,1,"$1,013.71",$446.03,56,Standard Desktop Hardware
106a,,,DELL,210-AFXJ,"Standard-Dell Optiplex 3040 Micro – Core i5-6500T, 2.5GHz,
4GB 1DIMM 1600MHz DDR3L, Windows 7 Pro (32/64 bit),
integrated Intel HD Graphics 530, 500GB SATA 7200rpm,
USB Optical Wheel Mouse, USB Keyboard, 3-Year Next
Business Day On-Site Warranty",EACH,1,$930.43,$409.39,56,Standard Desktop Hardware
200c,,,DELL,210-AFIF,"Power-Dell Optiplex 5040 SFF - Core i7-6700, 3.4GHz, 8GB 2
DIMMs 1600Mhz DDR3L, Windows 7 Pro (64-bit), integrated
Intel HD Graphics, DVD +/- RW, 500GB SATA II 7200RPM,
USB Optical Wheel Mouse, USB Keyboard, 90% Efficient
Power Supply, 3-Year Next Business Day On-Site Warranty",EACH,1,"$1,295.86",$570.18,56,Power Desktop Hardware
202c,,,DELL,210-AFID,"Power-Dell Optiplex 5040 MT - Core i7-6700, 3.4GHz, 8GB 2
DIMMs 1600Mhz DDR3L, Windows 7 Pro (64-bit), integrated
Intel HD Graphics, DVD +/- RW, 500GB SATA II 7200RPM,
USB Optical Wheel Mouse, USB Keyboard, 90% Efficient
Power Supply, 3-Year Next Business Day On-Site Warranty",EACH,1,"$1,315.86",$578.98,56,Standard Desktop Hardware
,,,DELL,210-ACQM,"Workstation - Dell Precision T5810 - Four Core E5-1607 v3
(4C, 3.1GHz, 10M, 140W), 16GB DDR4 RDIMM 2133MHz,
Windows 7 Po, SP1, 64-bit, NVIDIA® Quadro® K620 2GB (DP,
DL-DVI-I) (1 DP to SL-DVI adapter), 16X DVD+/-RW Drive,
900GB 2.5"" SAS (10,000 RPM), USB Optical Wheel Mouse,
USB Keyboard, 3- Year Next Business Day On-Site Warranty",EACH,1,"$2,803.33","$1,233.47",56,Workstation Hardware
400a,,,DELL,909686-51L,"Thin Client - Dell Wyse Z90D7 - Dual Core 1.65GHz, 2GB
1600MHz DDR3, Windows Embedded Std 7, USB Keyboard,
PS/2 Optical Mouse, 3-Year Limited Hardware Warranty on-site",EACH,1,$679.00,$298.76,56,Thin Client Hardware
430a,,,DELL,210-AFGK,"Power-Dell Optiplex 7040 SFF - Core i7-6700, 3.4GHz, 8GB 2
DIMMs 1600Mhz DDR4, Windows 7 Pro (64-bit), integrated
Intel HD Graphics, DVD +/- RW, 500GB SATA II 7200RPM,
USB Optical Wheel Mouse, USB Keyboard, 90% Efficient
Power Supply, 3-Year Next Business Day On-Site Warranty",EACH,1,"$1,354.43",$595.95,56,Power Desktop Hardware
,,,DELL,370-ACLY,8GB (1x8GB) 1600MHz DDR3L Memory,EACH,1,$130.00,$88.40,32,Upgrades
1003c,,,DELL,490-BCYL,AMD RadeonTM R5 340X (2GB DP/DVI-I),EACH,1,$110.00,$74.80,32,"Standard Desktop Options
Upgrades"
1005b,,,DELL,400-AIOY,3.5 1TB 7200rpm HDD,EACH,1,$130.00,$88.40,32,"Standard Desktop Options
Upgrades"
1006b,,,DELL,"470-ABLQ, 555-
BCMT",Intel® Dual Band Wireless 8260 (802.11ac) + Bluetooth,EACH,1,$53.00,$36.04,32,"Standard Desktop Options
Upgrades"
1007b,,,DELL,429-AAVN,8x DVD-ROM 9.5mm Optical Disk Drive,EACH,1,$40.00,$27.20,32,"Standard Desktop Options
Upgrades"
1008a,,,DELL,A4051228,Comfort wave  Ergonomic keyboard,EACH,1,$79.99,$54.39,32,"Standard Desktop Options
Upgrades"
1009b,,,DELL,A7055994,Performance Ergonomic mouse mx,EACH,1,$99.99,$67.99,32,"Standard Desktop Options
Upgrades"
,,,DELL,A6024088,Wireless mouse M525,EACH,1,$39.99,$27.19,32,Upgrades
1012b,,,DELL,A5950984,Jabra UC Voice 150 USB Duo. Headband INL,EACH,1,$33.99,$23.11,32,"Standard Desktop Options
Upgrades"
1013a,,,DELL,313-7362,"AX210 USB Stereo Speakers WW, I/S/X DT C",EACH,1,$19.99,$13.59,32,"Standard Desktop Options
Upgrades"
1014c,,,DELL,A3881047,H110 2 Stereo Headset,EACH,1,$14.99,$10.19,32,"Standard Desktop Options
Upgrades"
1015a,,,DELL,A3793590,6 ft DVI-D Single Link Digital Video Monitor Cable w/ Audio,EACH,1,$12.99,$8.83,32,"Standard Desktop Options
Upgrades"
1016b,,,DELL,470-AANH,DisplayPort 1.1 Male to DVI-D Male Black Cable - 6.5 ft,EACH,1,$24.99,$16.99,32,"Standard Desktop Options
Upgrades"
1017b,,,DELL,470-AANW,DiplayPort to DVI (Dual-Link),EACH,1,$139.99,$95.19,32,"Standard Desktop Options
Upgrades"
1019c,,,DELL,370-ACMQ,16GB (2x8GB) 1600MHz DDR3L Memory (5040),EACH,1,$260.00,$176.80,32,"Power Desktop Options
Upgrades"
1020c,,,DELL,490-BCPG,AMD RadeonTM R5 340X (2GB DP/DVI-I),EACH,1,$110.00,$74.80,32,"Power Desktop Options
Upgrades"
1021c,,,DELL,490-BCPF,"AMD RadeonTM R7 350X, 4GB, HH (DP, SL-DVI-I)",EACH,1,$180.00,$122.40,32,"Power Desktop Options
Upgrades"
1022c,,,DELL,400-AIOY,3.5 inch 1TB 7200rpm Hard Disk Drive,EACH,1,$130.00,$88.40,32,"Power Desktop Options
Upgrades"
1023c,,,DELL,400-AIRX,128GB SATA Solid State Drive,EACH,1,$200.00,$136.00,32,"Power Desktop Options
Upgrades"
1024c,,,DELL,400-AIRY,256GB PCIe Solid State Drive,EACH,1,$400.00,$272.00,32,"Power Desktop Options
Upgrades"
1026d,,,DELL,"470-ABLQ, 555-
BCMT",Intel® Dual Band Wireless 8260 (802.11ac) + Bluetooth,EACH,1,$53.00,$36.04,32,"Power Desktop Options
Upgrades"
1027d,,,DELL,631-AASS,Upgrade to Intel Standard Manageability,EACH,1,$15.00,$10.20,32,"Power Desktop Options
Upgrades"
1028d,,,DELL,429-AAVN,8x DVD-ROM 9.5mm Optical Disk Drive,EACH,1,$40.00,$27.20,32,"Power Desktop Options
Upgrades"
1030b,,,DELL,338-BFJW,"Intel® Xeon® Processor E5-1620 v3 (Quad Core HT, 3.7 GHz
Turbo, 10 MB)",EACH,1,$340.00,$231.20,32,Workstation Options Upgrades
1031b,,,DELL,338-BFJV,"Intel® Xeon® Processor E5-1660 v3 (Six Core HT, 3.5 GHz
Turbo, 12 MB)",EACH,1,"$1,820.00","$1,237.60",32,Workstation Options Upgrades
1033b,,,DELL,370-ABUP,32GB (4x8GB) 1866MHz DDR3 ECC RDIMM,EACH,1,"$1,040.00",$707.20,32,Workstation Options Upgrades
1034b,,,DELL,490-BCCO,"NVIDIA® Quadro® K4200 4GB (2 DP, DL-DVI-I) (1 DP to SL-
DVI adapter)",EACH,1,"$2,200.00","$1,496.00",32,Workstation Options Upgrades
,,,DELL,"400-AETZ, 401-
AALE",2x900GB 2.5inch SAS (10.000 Rpm) Hard Drive,EACH,1,$729.00,$495.72,32,Workstation Options Upgrades
1040b,,,DELL,400-AECP,256GB 2.5inch Serial ATA Solid State Drive,EACH,1,$477.00,$324.36,32,Workstation Options Upgrades
1041b,,,DELL,400-AECQ,512GB 2.5inch Serial ATA Solid State Drive,EACH,1,$810.33,$551.02,32,Workstation Options Upgrades
1042b,,,DELL,540-BBHC,"Intel® X540-T2 10GbE NIC, Dual Port, Copper",EACH,1,$450.00,$306.00,32,Workstation Options Upgrades
1043b,,,DELL,555-BBGR,Dell Wireless 1540 802.11 a/g/n PCIe,EACH,1,$49.00,$33.32,32,Workstation Options Upgrades
1044b,,,DELL,429-AAPD,8x Slimline DVD-ROM Drive,EACH,1,$30.00,$20.40,32,Workstation Options Upgrades
1045B,,,DELL,429-AAUX,Dell External USB Slim DVD+/-RW Optical Drive,EACH,1,$59.99,$40.79,32,Thin Client Options Upgrades
1047,,,DELL,A7287839,KINGSTON DATATRAVELER G4 - USB-FLASHSTAS,EACH,1,$10.99,$7.47,32,Thin Client Options Upgrades
1048b,,,DELL,A6188150,WYSE Displayport (M) TO DVI-D (F) adapter,EACH,1,$27.55,$18.73,32,Thin Client Options Upgrades
1049c,,,DELL,338-BHUG,"Intel® CoreTM i5-6600 Processor (Quad Core, 6MB, 4T,
3.3GHz, 65W)",EACH,1,$235.00,$159.80,32,All In One Options Upgrades
1050c,,,DELL,338-BHUH,"Intel® CoreTM i7-6700 Processor (Quad Core, 8MB, 8T,
3.4GHz, 65W)",EACH,1,$340.00,$231.20,32,All In One Options Upgrades
1051c,,,DELL,370-ACHX,8GB (2x4G) 2133MHz DDR4 Memory,EACH,1,$130.00,$88.40,32,All In One Options Upgrades
1054c,,,DELL,400-AMPC,M.2 128GB SATA Solid State Drive,EACH,1,$200.00,$136.00,32,All In One Options Upgrades
1055c,,,DELL,631-AAUF,Intel® vPro Technology Enabled,EACH,1,$40.00,$27.20,32,All In One Options Upgrades
1056c,,,DELL,429-AAWE,8x DVD-ROM 9.5mm Optical Disk Drive,EACH,1,$40.00,$27.20,32,All In One Options Upgrades
1057a,,,DELL,A3793590,"MS - Display cable - DVI-D M - DVI-D M - 6.6 ft  ( included in the
22"" widescreen monitor)",EACH,1,$12.99,$8.83,32,Monitor Option/Upgrades
1058b,,,DELL,A7639742,C2G 2M Displayport CBL W/ latches,EACH,1,$15.99,$10.87,32,Monitor Option/Upgrades
1059a,,,DELL,575-BBHE,Dell OptiPlex Micro AIO Stand,EACH,1,$92.86,$63.14,32,Micro Desktop Options
1060a,,,DELL,575-BBHC,Opti Micro VESA Mount,EACH,1,$28.57,$19.43,32,Micro Desktop Options
1061a,,,DELL,575-BBHF,Opti Micro Dual VESA Mount,EACH,1,$35.71,$24.28,32,Micro Desktop Options
,,,DELL,575-BBHH,Opti Micro Console,EACH,1,$121.43,$82.57,32,Micro Desktop Options
1064a,,,DELL,382-BBDP,2nd Display Port (Only 7040 Micro),EACH,1,$13.00,$8.84,32,Micro Desktop Options
1065,,,DELL,338-BHUU,"Intel® CoreTM i7-6700T Processor (Quad Core, 8MB, 8T,
2.8GHz, 35W)(3040MFF)",EACH,1,$340.00,$231.20,32,"Micro Standard Desktop
Upgrades"
1066,,,DELL,370-AAMU,16GB (2x8GB) 1600MHz DDR3 Non-ECC(3040MFF),EACH,1,$260.00,$176.80,32,"Micro Standard Desktop
Upgrades"
1067,,,DELL,370-AAML,8GB (2x4GB) 1600MHz DDR3L Memory(3040MFF),EACH,1,$130.00,$88.40,32,"Micro Standard Desktop
Upgrades"
1068,,,DELL,400-AJKT,2.5inch 128GB SSD(3040MFF),EACH,1,$200.00,$136.00,32,"Micro Standard Desktop
Upgrades"
1069,,,DELL,338-BHUH,"Intel® CoreTM i7-6700 Processor (Quad Core, 8MB, 8T,
3.4GHz, 65W)",EACH,1,$340.00,$231.20,32,"Standard Desktop Options
Upgrades"
1070,,,DELL,370-ACMQ,16GB (2x8GB) 1600MHz DDR3L Memory,EACH,1,$260.00,$176.80,32,"Standard Desktop Options
Upgrades"
1071,,,DELL,400-AJKS,2.5 128GB SSD,EACH,1,$200.00,$136.00,32,"Standard Desktop Options
Upgrades"
1072,,,DELL,400-AJCK,256GB Solid State Drive,EACH,1,$400.00,$272.00,32,"Standard Desktop Options
Upgrades"
1073,,,DELL,490-BCYM,"AMD RadeonTM R7 350X, 4GB (DP, SL-DVI-I)",EACH,1,$180.00,$122.40,32,"Standard Desktop Options
Upgrades"
1074,,,DELL,490-BCYL,AMD RadeonTM R5 340X (2GB DP/DVI-I),EACH,1,$110.00,$74.80,32,"Standard Desktop Options
Upgrades"
1075,,,DELL,"421-9983, 954-3463","DDPE Enterprise Edition License + ProSupport for Software
3 Year",EACH,1,$104.00,$70.72,32,"Standard Desktop Options
Upgrades"
1076,,,DELL,400-AHZI,2.5 inch 1TB 7200rpm Hard Disk Drive (7040 Micro),EACH,1,$130.00,$88.40,32,"Power Desktop Options
Upgrades"
1077,,,DELL,370-ACMR,"Add 8GB, 16GB total (2x8G) 2133MHz DDR4 Memory (7040
Micro)",EACH,1,$260.00,$176.80,32,"Power Desktop Options
Upgrades"
1078,,,DELL,338-BHUF,"Intel® CoreTM i5-6500 Processor (Quad Core, 6MB, 4T,
3.2GHz, 65W)",EACH,1,$205.00,$139.40,32,"Power Desktop Options
Upgrades"
1079,,,DELL,338-BHUS,"Intel® CoreTM i5-6500T Processor (Quad Core, 6MB, 4T,
2.5GHz, 35W) (7040 Micro)",EACH,1,$205.00,$139.40,32,"Power Desktop Options
Upgrades"
1080,,,DELL,370-ACKD,16GB (2x8G) 2133MHz DDR4 Memory (7040),EACH,1,$260.00,$176.80,32,"Power Desktop Options
Upgrades"
1081,,,DELL,370-ACKC,32GB (4x8G) 2133MHz DDR4 Memory,EACH,1,$570.00,$387.60,32,"Power Desktop Options
Upgrades"
1082,,,DELL,400-AIRW,"2.5 inch 500GB 7200rpm OPAL 2.0 FIPS Self Encrypting Hard
Disk Drive",EACH,1,$160.00,$108.80,32,"Power Desktop Options
Upgrades"
,,,DELL,490-BCQT,"AMD R5 340X 2GB (DP, DVI)  (5040 MINITOWER)",EACH,1,$110.00,$74.80,32,Upgrades
1085,,,DELL,325-BBQT,"Secure Cable Cover, SFF",EACH,1,$25.33,$17.22,32,"Power Desktop Options
Upgrades"
1086,,,DELL,325-BBTM,"Secure Cable Cover, MT",EACH,1,$28.57,$19.43,32,"Power Desktop Options
Upgrades"
1087,,,DELL,370-ACHX,8GB (2x4G) 2133MHz DDR4 Memory,EACH,1,$130.00,$88.40,32,All In One Options Upgrades
1088,,,DELL,370-ACHW,16GB (2x8G) 2133MHz DDR4 Memory (7440 AIO),EACH,1,$260.00,$176.80,32,All In One Options Upgrades
1089,,,DELL,400-AKYB,256GB PCIe Solid State Drive,EACH,1,$400.00,$272.00,32,All In One Options Upgrades
1090,,,DELL,400-AHIF,2.5 inch 512GB SATA Solid State Drive,EACH,1,$900.00,$612.00,32,All In One Options Upgrades
1091,,,DELL,400-AHZH,"2.5 inch 500GB 7200rpm FIPS Certified Self-Encrypting Hard
Drive",EACH,1,$160.00,$108.80,32,All In One Options Upgrades
1092,,,DELL,"391-BCNF, 490-
BCTH",4K TOUCH LCD,EACH,1,$685.00,$465.80,32,All In One Options Upgrades
1800b,,,DELL,858-BBCU,"P2016 19.5"" WideScreen Monitor",EACH,1,$189.99,$129.20,32,Monitor Options Upgrades
1801a,,,VIEWSONIC,TD2220,"22"" Touchscreen monitor",EACH,1,$445.00,$302.60,32,Monitor Options Upgrades
1802a,,,DELL,320-9704,"P2213 22"" Widescreen Monitor",EACH,1,$219.99,$149.59,32,Monitor Options Upgrades
1803c,,,DELL,320-9794,"P2414H 24"" Widescreen  Monitor",EACH,1,$299.99,$204.00,32,Monitor Options Upgrades
,,,DELL,"997-8533, 997-8536",4 Year Basic Hardware Service with 4 Year NBD on-site,EACH,1,$188.00,$101.52,46,Power Desktop Service O/U
2001b,,,DELL,"997-8538, 997-8533",5 Year Basic Hardware Service with NBD on-site,EACH,1,$228.00,$123.12,46,Power Desktop Service O/U
2002b,,,DELL,984-0092,"Keep Your Hard Drive, 3 Years",EACH,1,$20.00,$10.80,46,Standard Desktop Service O/U
2003a,,,DELL,981-3953,"Keep Your Hard Drive, 4 Years",EACH,1,$25.00,$13.50,46,Standard Desktop Service O/U
2004a,,,DELL,980-7554,"Keep Your Hard Drive, 5 Years",EACH,1,$30.00,$16.20,46,Standard Desktop Service O/U
2005a,,,DELL,"983-7873, 986-4872",Upgrade 4 Year Warranty Exchange Replacement,EACH,1,$39.00,$21.06,46,Monitor Service O/U
,,,DELL,"997-7166, 997-7163","4 Year Basic Hardware Service with 4 Year NBD Limited
Onsite Service After Remote Diagnosis",EACH,1,$372.00,$200.88,46,Workstation Options Upgrades
2008b,,,DELL,"997-7163, 997-7168","5 Year Basic Hardware Service with 5 Year NBD Limited
Onsite Service After Remote Diagnosis",EACH,1,$472.00,$254.88,46,Workstation Options Upgrades
2009a,,,DELL,984-1772,"Keep Your Hard Drive, 3 Years",EACH,1,$20.00,$10.80,46,Workstation Options Upgrades
2010a,,,DELL,981-5573,"Keep Your Hard Drive, 4 Years",EACH,1,$25.00,$13.50,46,Workstation Options Upgrades
2011a,,,DELL,980-9194,"Keep Your Hard Drive, 5 Years",EACH,1,$30.00,$16.20,46,Workstation Options Upgrades
2012c,,,DELL,"803-8591, 803-8583",4 Year Basic Hardware Service with NBD on-site,EACH,1,$178.00,$96.12,46,Standard Desktop Service O/U
2013c,,,DELL,"803-8583, 803-8593",5 Year Basic Hardware Service with 4 Year NBD on-site,EACH,1,$208.00,$112.32,46,Standard Desktop Service O/U
2014a,,,DELL,A6047259,"VL 1 Year Silverchoice Renewal for Z-Class (same as 4 year
Basic)",EACH,1,$49.00,$26.46,46,Thin Client Service O/U
2015a,,,DELL,A6047260,"(2) VL 1 Year Silverchoice Renewal for Z-Class (same as a 5
year basic - but order quantity of 2)",EACH,1,$49.00,$26.46,46,Thin Client Service O/U
2016c,,,DELL,"997-6870, 997-6873","4 Year Hardware Service with Onsite/In-Home Service After
Remote Diagnosis",EACH,1,$322.00,$173.88,46,All In One Service O/U
2017d,,,DELL,"997-6870, 997-6875","5 Year Hardware Service with Onsite/In-Home Service After
Remote Diagnosis",EACH,1,$342.00,$184.68,46,All In One Service O/U
2018,,,DELL,"997-6870, 997-6873",4 Year Basic Hardware Service with 4 Year NBD on-site,EACH,1,$322.00,$173.88,46,"Power Desktop Service O/U
7040"
2019,,,DELL,"997-6870, 997-6875",5 Year Basic Hardware Service with 5 Year NBD on-site,EACH,1,$342.00,$184.68,46,"Power Desktop Service O/U
7040"
3000a,,,TIG,TIG-INS-CPU,Installation Services,EACH,1,$40.00,$30.80,23,VAS Standard Desktop
3001a,,,TIG,TIG-ATG-CPU,Asset Tagging Services - Customer Provided Tags,EACH,1,$10.00,$7.70,23,VAS Standard Desktop
3002,,,TIG,TIG-AIN-CPU,Asset Information via Internet,EACH,1,,,23,VAS Standard Desktop
3003a,,,TIG,TIG-IMG-CPU,Imaging,EACH,1,$27.00,$20.79,23,VAS Standard Desktop
3004,,,TIG,TIG-SWC-CPU,Self-Warranty Certification,EACH,1,,,23,VAS Standard Desktop
3005,,,TIG,TIG-DIS-CPU,Take-Back Services,EACH,1,$10.00,$7.70,23,VAS Standard Desktop
3006,,,TIG,TIG-DLG-CPU,Deployments & Logistics Services,HOUR,1,$46.00,$35.42,23,VAS Standard Desktop
3007a,,,TIG,TIG-EMG-CPU,Emergency Services ( 4 hour response),HOUR,1,$58.00,$44.66,23,VAS Standard Desktop
3008,,,DELL,"365-1245, 365-1401",Absolute Computrace Complete 3YR License,EACH,1,$174.95,$134.71,23,VAS Standard Desktop
100d,43211500,210-AFTZ,DELL,210-AFTZ,"Standard - Dell Latitude E5470 - i5-6200U, 2.3GHz, 4GB DDR4-
2133MHz 1DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible),
500GB SATA II 7200RPM, Intel Integrated Graphics Card, 14.0"" HD
Widescreen, Integrated Wireless, Bluetooth,  4-Cell Battery, 3 -Year
NBD Onsite Warranty",EACH,1,"$1,624.09",$730.84,55,Standard Laptop Config
200d,43211500,210-AFTZP,DELL,210-AFTZP,"Power - Dell Latitude E5470 - i5-6200U, 2.3GHz, 8GB DDR4-
2133MHz 2DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible),
500GB SATA II 7200RPM, Intel Integrated Graphics Card, 14.0"" HD
Widescreen, Integrated Wireless, Bluetooth,  4-Cell Battery, 3 -Year
NBD Onsite Warranty",EACH,1,"$1,699.09",$764.59,55,Power Laptop Config
300d,43211500,210-AFTT,DELL,210-AFTT,"Ultralight - Dell Latitude E7270 - i5-6200U, 2.3GHz, 4GB DDR4-
2133MHz 1DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible),
128GB SATA III Solid State HD, Intel Integrated Graphics Card, 12.5""
HD Widescreen Integrated Wireless, Bluetooth, 4-Cell Battery, 3-Year
NDB Onsite Warranty",EACH,1,"$1,947.80",$876.51,55,Ultralight Laptop Config
400d,43211500,210-AFXM,DELL,210-AFXM,"
Mobile Workstation - Dell Mobile Precision 7510 - i7-6820HQ 2.7GHz
Quad Core, 16GB DDR4 2133MHz 2DIMMS, Windows 10 Pro 64-bit
(Windows 7 Compatible), 500GB SATA II 7200RPM, AMD FireProTM W5170M w/2GB GDDR5, 15.6"" HD Widescreen, Integrated Wireless,
Bluetooth. 6-cell battery. 3-Year NBD Onsite Warranty
",EACH,1,"2,230.06","1,003.53",55,Mobile Workstation Config
1005b,43211500,451-BBUV,DELL,451-BBUV,6 Cell (91 Whr) Long Life Cycle Lithium Polymer battery,EACH,1,$212.86,$138.36,35,"Options/Upgrades
Mobile Workstation"
1007,43211500,313-7362,DELL,313-7362,USB Powered External Speakers,EACH,1,19.99,$12.99,35,"Options/Upgrades
All Laptops"
1008c,43211500,429-AAUX,DELL,429-AAUX,USB External DVD+/-RW Drive,EACH,1,59.99,$38.99,35,"Options/Upgrades
Standard and Ultralight
Laptop"
1009c,43211500,"379-BCFY, 391-BCDQ",DELL,"379-BCFY, 391-BCDQ","Intel® CoreTM i7-6600U (Dual Core, 2.6GHz, 4M cache, 15W) vPro",EACH,1,$500.00,$325.00,35,"Options/Upgrades
Power Laptop"
1010a,43211500,NA,DELL,NA,Add Integrated Microphone (INCLUDED IN BASE),EACH,1,,,35,"Options/Upgrades
Power Laptop"
1011a,43211500,NA,DELL,NA,Add Integrated Microphone (INCLUDED IN BASE),EACH,1,,,35,"Options/Upgrades
Standard Laptop"
1012c,43211500,346-BBPV,DELL,346-BBPV,Fingerprint Reader/Smartcard Reader,EACH,1,30,$19.50,35,"Options/Upgrades
Ultralight Laptop"
1014b,43211500,"319-BBDT, 320-BBQV, 391
BCFG",DELL,"319-BBDT, 320-BBQV, 391
BCFG",Add Integrated Microphone,EACH,1,$212.86,$138.36,35,"Options/Upgrades
Mobile Workstation"
1015a,43211500,NA,DELL,N/A,Included in Base,EACH,1,,$-,,"Options/Upgrades
Mobile Workstation"
1016c,43211500,370-ACDE,DELL,370-ACDE,"Add 4Gb (8GB Total) 2x4GB, 2133MHz DDR4 Memory",EACH,1,$180.00,$117.00,35,"Options/Upgrades
Ultralight Laptop"
1017c,43211500,338-BIFC,DELL,338-BIFC,"Intel® CoreTM i7-6920HQ (Quad Core 2.90GHz, 3.80GHz Turbo, 8MB
45W, w/Intel HD Graphics 530)",EACH,1,$741.43,$481.93,35,"Options/Upgrades
Mobile Workstation"
1018b,43211500,370-ACEB,DELL,370-ACEB,"Add 16GB (Total 32.0GB), DDR4-2133MHz SDRAM, 4 DIMMS",EACH,1,$588.57,$382.57,35,"Options/Upgrades
Mobile Workstation"
1020c,43211500,"379-BCFY, 391-BCDQ",DELL,"379-BCFY, 391-BCDQ","Intel® CoreTM i7-6600U (Dual Core, 2.6GHz, 4M cache, 15W) vPro",EACH,1,$500.00,$325.00,35,"Options/Upgrades
Standard Laptop"
1021b,43211500,379-BCFY,DELL,379-BCFY,"Intel® CoreTM i7-6600U (Dual Core, 2.6GHz, 4M cache, 15W)",EACH,1,$400.00,$260.00,35,"Options/Upgrades
Ultralight Laptop"
1022a,43211500,370-ACDF,DELL,370-ACDF,"Add 8GB (16GB Total), DDR4,2133MHZ",EACH,1,$330.00,$214.50,35,"Options/Upgrades
Power Laptop"
1023b,43211500,391-BCFM,DELL,391-BCFM,Add Integrated Webcam,EACH,1,30,$19.50,35,"Options/Upgrades
Ultralight Laptop"
1024a,43211500,319-BBCW,DELL,319-BBCW,Add Integrated Microphone (Remove Webcam),EACH,1,,,35,"Options/Upgrades
Ultralight Laptop"
1026,43211500,330-9456,DELL,330-9456,Add USB optical mouse,EACH,1,19.99,$12.99,35,"Options/Upgrades
All Laptops"
1027a,43211500,331-9653,DELL,331-9653,Add USB keyboard,EACH,1,29.99,$19.49,35,"Options/Upgrades
All Laptops"
1028a,43211500,631-AARN,DELL,631-AARN,Upgrade to Intel vPro Technology,EACH,1,30,$19.50,35,"Options/Upgrades
Power Laptop"
1029c,43211500,346-BBRJ,DELL,346-BBRJ,Fingerprint Reader/Smartcard Reader,EACH,1,30,$19.50,35,"Options/Upgrades
Power Laptop"
1030b,43211500,631-AARD,DELL,631-AARD,Upgrade Intel vProTM Technology’s Advanced Management Features,EACH,1,30,$19.50,35,"Options/Upgrades
Ultralight Laptop"
1031b,43211500,346-BBRE,DELL,346-BBRE,Add fingerprint reader/Smartcard Reader,EACH,1,70,$45.50,35,"Options/Upgrades
Mobile Workstation"
1032b,43211500,631-AAQU,DELL,631-AAQU,Intel vPro Technology Enabled,EACH,1,$27.14,$17.64,35,"Options/Upgrades
Mobile Workstation"
1033a,43211500,331-6304,DELL,331-6304,"Docking Station with A/C adapter, supports laptop recharging",EACH,1,$219.99,$142.99,35,"Options/Upgrades
Mobile Workstation"
1034a,43211500,469-4546,DELL,469-4546,"Dell 90-Watt Auto-Air DC Adapter for Select Dell Systems(Car
Charger)",EACH,1,$99.99,$64.99,35,"Options/Upgrades
Standard, Power and
Ultralight Laptop"
1035a,43211500,570-AALK,DELL,570-AALK,Dell Wireless Mouse-WM126 - Black,EACH,1,$19.99,$12.99,35,"Options/Upgrades
All Laptops"
1036c,43211500,400-AHCC,DELL,400-AHCC,256GB Solid State Drive,EACH,1,$320.00,$208.00,35,"Options/Upgrades
Ultralight Laptop"
1038b,43211500,400-AJBG,DELL,400-AJBG,256GB  Solid State Drive,EACH,1,$284.29,$184.79,35,"Options/Upgrades
Mobile Workstation"
1041b,43211500,400-AJBO,DELL,400-AJBO,500G 7200 OPAL,EACH,1,$84.29,$54.79,35,"Options/Upgrades
Mobile Workstation"
1043c,43211500,391-BCDP,DELL,391-BCDP,Add Integrated Webcam,EACH,1,30,$19.50,35,"Options/Upgrades
Standard, Power"
1044b,43211500,331-6307,DELL,331-6307,Dell E-Port Replicator Docking Station with USB 3.0,EACH,1,$169.00,$109.85,35,"Options/Upgrades
Standard, Power and
Ultralight Laptop"
1045,81110000,980-5714,DELL,980-5714,"Keep Your Hard Drive, 5 Year",EACH,1,30,$19.50,35,"Options/Upgrades
Mobile Workstation"
1046,81110000,980-9314,DELL,980-9314,"Keep Your Hard Drive, 5 Year",EACH,1,30,$19.50,35,"Options/Upgrades
Standard, Power and
Ultralight Laptop"
1047,81110000,981-2233,DELL,981-2233,"Keep Your Hard Drive, 4 Year",EACH,1,25,$16.25,35,"Options/Upgrades
Mobile Workstation"
1048,81110000,981-5693,DELL,981-5693,"Keep Your Hard Drive, 4 Year",EACH,1,25,$16.25,35,"Standard, Power and
Ultralight Laptop"
1049,81110000,983-8332,DELL,983-8332,"Keep Your Hard Drive, 3 Year",EACH,1,$20.00,$13.00,35,"Options/Upgrades
Mobile Workstation"
1050,81110000,984-1892,DELL,984-1892,"Keep Your Hard Drive, 3 Year",EACH,1,20,$13.00,35,"Standard, Power and
Ultralight Laptop"
